allele,frequency
C03:02,0.0628
C03:03,0.1195
C03:04,0.1013
C03:05,2.4e-05
C03:06,1.8e-05
C03:43,3.6e-05
C03:49,2.8e-05
C04:01,0.0556
C04:03,0.0003
C04:04,1.4e-05
C04:06,1.5e-05
C04:10,2.7e-05
C05:01,0.0162
C05:08,5.7e-05
C06:02,0.0548
C06:04,2e-05
C06:06,1.6e-05
C06:12,1.6e-05
C06:15,3.5e-05
C07:01,0.0354
C07:02,0.0822
C07:04,0.009
C07:16,1.5e-05
C07:27,3.3e-05
C07:56,2.2e-05
C07:161,2.9e-05
C07:162,1.3e-05
C07:163,9e-06
C07:165,2.4e-05
C07:168,1.4e-05
C07:169,1.1e-05
C08:01,0.0738
C08:02,0.0124
C08:03,0.0066
C08:06,1.9e-05
C12:02,0.0268
C12:03,0.0056
C12:04,2.9e-05
C14:02,0.0823
C14:03,0.0517
C14:06,1.9e-05
C15:02,0.0193
C15:04,1.8e-05
C15:05,0.0065
C16:01,0.0001
C16:02,7.4e-05
C16:04,1.8e-05
C17:01,0.0002
