allele,frequency
A01:14,2e-06
A01:17,2e-06
A01:24,2e-06
A01:25,2e-06
A02:01,0.223
A02:02,0.0041
A02:03,0.0001
A02:04,0.0003
A02:05,0.0142
A02:06,0.0504
A02:07,2.3e-05
A02:11,0.0007
A02:12,2e-06
A02:13,4.2e-05
A02:14,4e-06
A02:16,1e-06
A02:17,0.0005
A02:20,0.0002
A02:22,0.0002
A02:24,1.9e-05
A02:30,4e-06
A02:33,3.8e-05
A02:34,2e-06
A02:35,6e-06
A02:38,6e-06
A02:40,1.7e-05
A02:44,0.0001
A02:46,2e-06
A02:47,2e-06
A02:49,2e-06
A02:51,8e-06
A02:52,4e-06
A02:54,8e-06
A02:57,8e-06
A02:58,1.9e-05
A02:60,1.9e-05
A02:62,2e-06
A02:64,4e-06
A02:86,2e-06
A02:105,2e-06
A02:110,4e-06
A02:114,8e-06
A02:119,2e-06
A02:136,4e-06
A02:137,1e-05
A02:153,2e-06
A02:160,2e-06
A02:161,2e-06
A02:162,1e-06
A02:163,1e-06
A02:164,2e-06
A02:165,2e-06
A02:166,1e-06
A02:167,1e-06
A02:168,2e-06
A02:169,1e-06
A02:195,1.3e-05
A02:211,2e-06
A02:268,2e-06
A02:279,8e-06
A03:01,0.0815
A03:02,0.0016
A03:05,3.3e-05
A03:06,1e-06
A03:07,4e-06
A03:08,4e-06
A03:09,4e-06
A03:89,2e-06
A03:97,2e-06
A03:98,1e-06
A03:105,1e-06
A03:106,2e-06
A11:01,0.0484
A11:02,8e-06
A11:03,2e-06
A11:04,2e-06
A11:05,6e-06
A11:08,2.7e-05
A11:09,6e-06
A11:11,2e-06
A11:12,2e-06
A11:29,2e-06
A23:01,0.0264
A23:02,2e-06
A23:04,2e-06
A23:05,3.4e-05
A24:02,0.1304
A24:03,0.0017
A24:05,6.5e-05
A24:06,1e-05
A24:07,0.0004
A24:08,9e-06
A24:10,4e-06
A24:13,2.1e-05
A24:14,2.1e-05
A24:15,2e-06
A24:22,0.0007
A24:23,1.7e-05
A24:25,0.0017
A24:26,3.6e-05
A24:28,4e-06
A24:34,8e-06
A24:38,2e-06
A24:42,9e-06
A24:53,8e-06
A24:95,1.3e-05
A24:109,4.4e-05
A25:01,0.0113
A26:01,0.0259
A26:02,1.7e-05
A26:03,9e-06
A26:05,1.3e-05
A26:07,1.7e-05
A26:08,0.0009
A26:09,4e-06
A26:13,4e-06
A26:14,2e-06
A26:15,2e-06
A26:17,8e-06
A26:21,9e-06
A29:01,0.002
A29:02,0.039
A29:03,2.1e-05
A29:10,2e-06
A29:12,2e-06
A29:19,2e-06
A30:01,0.0162
A30:02,0.023
A30:04,0.0024
A30:07,2e-06
A30:08,4e-06
A30:09,1.9e-05
A30:10,0.0004
A31:01,0.0531
A31:02,0.001
A31:03,9e-06
A31:04,9e-06
A31:05,2e-06
A31:09,5.9e-05
A31:10,2.5e-05
A31:15,2e-06
A31:18,2.7e-05
A31:40,2e-06
A32:01,0.0247
A32:02,1.7e-05
A32:03,8e-06
A32:04,6e-06
A32:06,4e-06
A32:07,2e-06
A32:08,4e-06
A32:20,2e-06
A33:01,0.0195
A33:03,0.0049
A33:05,1.5e-05
A34:01,0.0004
A34:02,0.0025
A34:03,2e-06
A34:05,6e-06
A36:01,0.0011
A36:02,2e-06
A36:03,2e-06
A36:04,2e-06
A66:01,0.0049
A66:02,0.0003
A66:03,0.0001
A68:01,0.0518
A68:02,0.0185
A68:03,0.0195
A68:05,0.0041
A68:06,0.0002
A68:07,5e-05
A68:09,2e-06
A68:12,0.0001
A68:15,1.1e-05
A68:16,2e-06
A68:17,1.3e-05
A68:19,2e-06
A68:20,1e-05
A68:23,2e-06
A68:29,2e-06
A68:31,4e-06
A68:34,1e-06
A68:35,2e-06
A68:36,4e-06
A68:61,1e-06
A68:75,4e-06
A69:01,0.0035
A74:01,0.0044
A74:03,1.7e-05
A74:08,1.1e-05
A74:11,2e-06
A80:01,0.0013
C01:02,0.0507
C01:07,4e-06
C01:10,1.1e-05
C02:02,0.0336
C02:04,4e-06
C02:07,7e-06
C02:20,4e-06
C03:02,0.0037
C03:03,0.0366
C03:04,0.0726
C03:05,0.0072
C03:06,0.0103
C03:07,6.3e-05
C03:08,6.7e-05
C03:14,8e-06
C03:16,4e-06
C03:17,4e-06
C03:38,7e-06
C03:47,7e-06
C03:78,4e-06
C04:01,0.171
C04:03,8.2e-05
C04:04,6.5e-05
C04:06,4.1e-05
C04:07,1.8e-05
C04:08,4e-06
C04:10,6e-06
C04:17,6e-06
C04:19,1.3e-05
C04:33,4e-06
C04:46,7e-06
C05:01,0.0575
C05:04,5e-06
C05:09,0.0001
C06:02,0.0603
C06:04,5e-06
C06:06,5e-06
C06:07,5e-06
C06:08,4e-06
C06:09,1.5e-05
C07:01,0.0917
C07:02,0.1366
C07:04,0.0048
C07:05,1.4e-05
C07:07,5e-06
C07:12,1.1e-05
C07:17,0.0002
C07:26,3e-06
C07:27,1e-05
C07:29,9e-06
C07:92,4e-06
C07:93,7e-06
C07:99,4e-06
C07:137,5e-06
C08:01,0.0362
C08:02,0.0512
C08:03,0.0016
C08:04,0.0005
C08:05,9e-06
C08:07,4e-06
C08:08,5e-06
C08:10,4.2e-05
C08:11,6e-06
C08:13,2.3e-05
C12:02,0.0112
C12:03,0.0393
C12:04,5.7e-05
C12:05,7e-06
C12:12,2.6e-05
C12:13,4e-06
C14:02,0.0095
C14:03,8.3e-05
C14:05,6e-06
C14:06,1.4e-05
C14:11,5e-06
C15:02,0.0355
C15:04,0.0002
C15:05,0.0054
C15:06,2.5e-05
C15:07,5e-06
C15:09,0.0037
C15:11,3.8e-05
C15:19,7e-06
C16:01,0.0473
C16:02,0.0038
C16:04,0.0003
C16:09,7e-06
C17:01,0.0144
C18:01,0.002
