allele,frequency
A24:22,1.6e-05
A24:23,4e-06
A24:25,0.0004
A24:26,6.1e-05
A24:28,1.3e-05
A24:32,4e-06
A24:38,1e-06
A24:42,2e-06
A24:50,4e-06
A24:53,1.3e-05
A24:55,4e-06
A24:69,1e-06
A24:88,1e-06
A24:109,9e-06
A25:01,0.0073
A26:01,0.03
A26:02,4e-06
A26:05,9e-06
A26:07,1.3e-05
A26:08,0.0008
A26:12,9e-06
A26:17,1e-06
A26:20,4e-06
A26:23,1e-06
A26:27,4e-06
A26:40,4e-06
A26:54,1e-06
A29:01,0.0009
A29:02,0.0607
A29:03,1.3e-05
A29:09,4e-06
A29:10,4e-06
A30:01,0.0294
A30:02,0.0317
A30:04,0.0067
A30:07,9e-06
A30:08,9e-06
A30:09,9e-06
A30:10,0.0032
A30:47,4e-06
A31:01,0.0289
A31:02,4.7e-05
A31:03,9e-06
A31:04,9e-06
A31:06,4e-06
A31:09,2e-06
A31:15,9e-06
A31:40,2e-06
A32:01,0.0337
A32:02,4e-06
A32:03,4e-06
A32:04,9e-06
A32:21,4e-06
A33:01,0.0273
A33:03,0.0149
A33:05,4e-06
A34:01,3.9e-05
A34:02,0.0084
A36:01,0.004
A36:03,2.2e-05
A43:01,4e-06
A66:01,0.0097
A66:02,0.0017
A66:03,0.0002
A68:01,0.0385
A68:02,0.044
A68:03,0.0027
A68:05,0.0003
A68:07,3.5e-05
A68:08,9e-06
A68:12,5.6e-05
A68:15,6.5e-05
A68:20,4e-06
A68:23,4e-06
A68:24,9e-06
A68:30,9e-06
A68:36,4e-06
A68:77,4e-06
A69:01,0.0032
A74:01,0.0136
A74:03,9e-06
A74:05,2e-06
A74:06,2e-06
A80:01,0.0042
C01:02,0.0237
C01:10,1.9e-05
C02:02,0.0624
C02:19,1.8e-05
C03:02,0.0065
C03:03,0.0292
C03:04,0.0452
C03:05,0.0172
C03:06,0.0001
C03:07,1.3e-05
C03:38,1.5e-05
C04:01,0.1486
C04:03,0.0004
C04:07,7.2e-05
C04:08,1.6e-05
C04:13,3.2e-05
C05:01,0.0556
C05:04,9e-06
C05:06,1.8e-05
C05:09,0.0001
C05:20,1.1e-05
C06:02,0.074
C06:08,2.8e-05
C07:01,0.1418
C07:02,0.0761
C07:04,0.0091
C07:05,4.6e-05
C07:12,1.7e-05
C07:15,1e-05
C07:17,1.2e-05
C07:27,2.4e-05
C07:28,1.8e-05
C07:85,1.5e-05
C08:01,0.0021
C08:02,0.0458
C08:03,0.0006
C08:04,0.0022
C08:10,9e-06
C08:12,1.1e-05
C12:02,0.0115
C12:03,0.0438
C12:04,2.3e-05
C12:05,1.3e-05
C12:12,9.4e-05
C14:02,0.0246
C14:03,0.0001
C15:02,0.0375
C15:04,0.0002
C15:05,0.0072
C15:09,7.6e-05
C16:01,0.085
C16:02,0.0151
C16:04,0.0002
C17:01,0.0299
C18:01,0.0036
