allele,frequency
B58:16,4e-06
B58:18,1e-06
B58:21,1e-06
B58:33,1e-06
B59:01,7e-06
B67:01,0.0001
B67:02,4e-06
B73:01,0.0002
B78:01,0.0099
B78:02,2.6e-05
B81:01,0.0199
B82:01,0.0028
B82:02,0.0003
A01:01,0.0467
A01:02,0.0042
A01:03,5.8e-05
A01:06,2e-06
A01:09,2e-06
A01:12,1e-06
A01:17,1e-06
A01:19,1e-06
A01:23,5e-06
A01:25,2e-06
A02:01,0.1235
A02:02,0.0414
A02:03,0.0002
A02:04,3.6e-05
A02:05,0.0149
A02:06,0.0007
A02:07,1.7e-05
A02:08,1e-06
A02:11,0.0002
A02:13,4e-06
A02:14,6e-05
A02:16,2.6e-05
A02:17,0.0002
A02:19,1e-06
A02:20,2.4e-05
A02:22,7.9e-05
A02:24,6e-06
A02:30,2e-06
A02:31,1e-06
A02:35,6e-06
A02:36,1e-06
A02:38,4e-06
A02:40,2e-06
A02:45,2e-06
A02:47,1.1e-05
A02:60,0.0005
A02:63,1e-05
A02:74,5e-06
A02:84,1.8e-05
A02:86,1.4e-05
A02:122,1.1e-05
A02:130,2e-06
A02:155,1e-06
A02:177,4e-06
A02:186,1e-06
A02:193,1e-05
A02:200,1e-06
A02:255,1e-06
A03:01,0.0839
A03:02,0.0004
A03:05,1.3e-05
A03:06,1e-06
A03:07,1.7e-05
A03:08,2e-06
A03:24,5e-06
A03:51,4e-06
A11:01,0.0142
A11:02,5e-06
A11:03,8e-06
A11:04,1e-06
A23:01,0.1099
A23:02,4.8e-05
A23:03,2e-06
A23:04,1.3e-05
A23:05,2.4e-05
A23:06,1.4e-05
A23:12,1e-06
A23:13,1e-06
A23:15,4.9e-05
A23:28,2e-06
A23:31,4e-06
A24:02,0.0245
A24:03,0.0004
A24:05,6e-06
A24:06,4e-06
A24:07,0.0005
A24:08,2e-06
A24:10,1e-06
A24:13,1.1e-05
A24:15,1e-06
A24:17,1e-05
A24:20,4e-06
A24:22,1e-06
A24:23,7.1e-05
A24:24,1e-06
A24:28,1e-06
A24:29,1e-06
A24:53,1e-06
A24:109,7e-06
A25:01,0.0034
A25:02,1e-05
A26:01,0.0146
A26:02,5e-06
A26:03,1e-05
A26:05,1.1e-05
