allele,frequency
B40:01,0.0528
B40:02,0.0126
B40:03,2e-06
B40:04,1.85e-05
B40:05,4.43e-05
B40:06,0.0003
B40:07,3.6e-06
B40:08,2.7e-05
B40:10,3.2e-06
B40:11,8.4e-06
B40:12,2.8e-06
B40:14,5.2e-06
B40:16,4e-07
B40:19,4e-06
B40:20,2.4e-06
B40:27,8.4e-06
B40:30,8e-07
B40:31,4.4e-06
B40:32,9.7e-06
B40:33,5.2e-06
B40:34,8e-07
B40:36,4e-07
B40:38,4e-07
B40:42,8e-07
B40:43,4e-07
B40:46,4e-07
B40:59,4e-07
B40:60,4e-07
B40:64,4e-07
B40:65,8e-07
B40:67,8e-07
B40:79,4e-07
B40:80,4e-07
B40:87,8e-07
B40:89,4e-07
B40:94,1.2e-06
B40:113,2e-06
B40:114,1.2e-06
B40:121,4e-07
B40:126,1.37e-05
B40:130,1e-07
B40:135,1.2e-06
B40:140,3e-07
B41:01,0.0043
B41:02,0.005
B41:03,1.6e-06
B41:05,2.8e-06
B41:15,4e-07
B41:16,4e-07
B42:01,0.0003
B42:02,0.0001
B42:05,9.3e-06
B44:02,0.0952
B44:03,0.0467
B44:04,0.0006
B44:05,0.0029
B44:06,3.98e-05
B44:08,3.22e-05
B44:09,5.79e-05
B44:10,6.4e-06
B44:11,4e-07
B44:12,4e-07
B44:13,8e-07
B44:17,7.2e-06
B44:18,4e-07
B44:20,5.2e-06
B44:21,8e-06
B44:22,2.4e-06
B44:24,6.4e-06
B44:25,1.2e-06
B44:29,3.14e-05
B44:32,2.8e-06
B44:34,8e-07
B44:36,4e-07
B44:37,4e-07
B44:40,4e-07
B44:41,4e-07
B44:43,4e-07
B44:53,4e-07
B44:54,4e-07
B44:55,4e-07
B44:59,1.2e-06
B44:62,1.2e-06
B44:63,4e-07
B44:64,4e-07
B44:74,4e-07
B44:76,4e-07
B44:79,1.2e-06
B44:92,4e-07
B44:96,8e-07
B44:111,4e-07
B44:114,4e-07
B44:120,1.6e-06
B45:01,0.0059
B45:02,4e-07
B45:03,8e-07
B45:04,8e-07
B46:01,7.52e-05
B47:01,0.0027
B47:02,1.33e-05
B47:03,4e-07
B47:06,4e-07
B48:01,0.0007
B48:02,7.2e-06
B48:03,2.8e-06
B48:04,2e-07
B48:07,4e-07
B48:13,2e-07
B48:24,1e-07
B49:01,0.0158
B49:02,1.2e-06
B50:01,0.0105
B50:02,0.0004
B50:04,4e-07
B51:01,0.0473
B51:02,6.96e-05
B51:03,8e-07
B51:04,1.6e-06
B51:05,0.0002
B51:06,1.57e-05
B51:07,0.0005
B51:08,0.0012
B51:09,0.0005
B51:13,4e-07
B51:14,3.2e-06
B51:16,4e-07
B51:19,3.2e-06
B51:20,8e-07
B51:21,2.8e-06
B51:22,7.6e-06
B51:23,1.2e-06
B51:24,4e-07
B51:29,2.8e-06
B51:34,5.2e-06
B51:36,4e-07
B51:37,3.6e-06
B51:38,8e-07
B51:40,2.8e-06
B51:42,4e-07
B51:43,1.33e-05
B51:49,2.8e-06
B51:50,1.2e-06
B51:53,1e-07
B51:55,1.2e-06
B51:56,2.4e-06
B51:61,8e-07
B51:65,1.2e-06
B51:67,1.2e-06
B51:72,1e-07
B51:79,8e-07
B51:88,2e-07
B51:90,8e-07
B51:91,1e-07
B51:95,2e-07
B52:01,0.0089
B52:02,8e-07
B52:04,4e-07
B52:06,8e-07
B52:10,4e-07
B52:11,4e-07
B53:01,0.0034
B53:03,4e-07
B53:04,2e-07
B53:05,1.13e-05
B53:06,4e-07
B53:07,2e-07
B53:12,1.6e-06
B53:13,8e-07
B53:22,4e-07
B54:01,3.82e-05
B55:01,0.0186
B55:02,3.42e-05
B55:05,1.6e-06
B55:07,4e-07
B55:09,8e-07
B55:11,8e-07
B55:17,1.8e-06
B55:23,4e-07
B55:24,1.2e-06
B55:25,4e-07
B55:28,1.8e-06
B55:29,4e-07
B55:31,4e-07
B56:01,0.0064
B56:02,4.4e-06
B56:03,1.2e-06
B56:11,4e-07
B56:13,8e-07
B56:15,2.4e-06
B56:16,4e-06
B56:17,4e-07
B57:01,0.0365
B57:02,0.0003
B57:03,0.0007
