allele,frequency
A02:165,1e-06
A02:166,1e-06
A02:168,1e-06
A03:01,0.101
A03:02,0.0175
A03:05,7.1e-05
A03:08,1.4e-05
A03:108,7e-06
A11:01,0.0641
A11:02,2.1e-05
A11:03,7e-06
A11:05,2.1e-05
A11:08,1.1e-05
A11:09,7e-06
A11:12,7e-06
A11:18,1.4e-05
A11:24,1.4e-05
A11:25,1.1e-05
A23:01,0.0297
A23:12,7e-06
A23:13,2.1e-05
A23:15,7e-06
A23:30,7e-06
A24:02,0.1174
A24:03,0.0089
A24:05,3.5e-05
A24:07,0.0004
A24:08,2.1e-05
A24:14,7e-06
A24:17,4.9e-05
A24:25,1.4e-05
A24:26,2.8e-05
A24:28,1.4e-05
A24:29,1.4e-05
A24:30,4e-06
A24:31,7e-06
A24:34,4e-06
A24:35,4e-06
A24:37,4e-06
A24:46,7e-06
A24:47,4e-06
A24:52,1.4e-05
A24:56,7e-06
A24:70,7e-06
A24:95,7e-06
A24:109,1.4e-05
A24:162,4e-06
A25:01,0.0097
A25:02,4e-06
A25:11,4e-06
A26:01,0.0442
A26:03,1.4e-05
A26:05,7e-06
A26:07,7e-06
A26:08,0.0006
A26:12,7e-06
A26:14,1.4e-05
A26:15,7e-06
A26:16,2.1e-05
A26:17,4.9e-05
A29:01,0.0119
A29:02,0.0193
A29:03,7e-06
A29:10,0.0001
A29:12,7e-06
A30:01,0.0283
A30:02,0.0133
A30:04,0.0089
A30:08,2.1e-05
A30:10,7.4e-05
A30:11,7e-06
A30:15,7e-06
A30:26,7e-06
A30:29,7e-06
A31:01,0.0186
A31:04,3.5e-05
A31:06,2.8e-05
A31:09,7e-06
A32:01,0.0493
A32:02,7e-06
A32:03,7.1e-05
A32:04,2.1e-05
A32:07,7e-06
A32:18,7e-06
A32:20,7e-06
A32:22,7e-06
A33:01,0.0189
A33:03,0.0109
A33:05,4.2e-05
A34:01,1.4e-05
A34:02,0.0012
A34:03,4e-06
A34:06,4e-06
A36:01,0.0002
A36:02,7e-06
A36:03,7e-06
A36:04,1.4e-05
A43:01,2.1e-05
A66:01,0.0061
A66:02,4.2e-05
A66:03,2.1e-05
A68:01,0.03
A68:02,0.0112
A68:03,0.0002
A68:05,1.1e-05
A68:12,2.8e-05
A68:13,2.8e-05
A68:20,1.1e-05
A68:24,7e-06
A68:42,7e-06
A69:01,0.0076
A74:01,0.0011
A74:03,0.0002
A74:06,7e-06
A80:01,0.0003
C01:02,0.026
C01:03,2.8e-05
C01:32,3e-06
C02:02,0.0348
C02:04,1e-05
C02:06,1e-05
C02:07,1.2e-05
C02:08,2e-05
C02:14,1.1e-05
C02:28,1.2e-05
C03:02,0.008
C03:03,0.0289
C03:04,0.0284
C03:05,9e-05
C03:06,1.8e-05
C03:14,1.1e-05
C03:16,3e-05
C03:19,4.5e-05
C03:44,1.4e-05
C04:01,0.1689
C04:03,0.0004
C04:04,0.0001
C04:07,7.6e-05
C04:08,1.1e-05
C04:10,2.7e-05
C04:54,1e-05
C05:01,0.0452
C05:09,3.9e-05
C05:39,7e-06
C05:42,1.1e-05
C06:02,0.1032
C06:06,5.1e-05
C06:07,1.8e-05
C06:30,1.3e-05
C07:01,0.1476
C07:02,0.0739
C07:04,0.0111
C07:05,3.9e-05
C07:12,9e-06
C07:17,4e-06
C07:21,4.1e-05
C07:26,7.1e-05
C07:27,4.6e-05
C07:29,1e-05
C07:30,6e-06
C07:36,1.5e-05
C07:40,1.4e-05
C07:58,8e-06
C07:68,1.6e-05
C07:72,1.3e-05
C07:76,2e-05
C07:85,1.4e-05
C07:95,1e-05
C07:165,4e-06
C07:170,4e-06
C07:171,7e-06
C07:172,4e-06
C07:173,5e-06
C07:174,4e-06
C07:175,7e-06
C07:176,4e-06
C07:177,7e-06
C07:178,4e-06
C07:179,5e-06
C08:01,0.0011
C08:02,0.0409
C08:03,0.0003
C08:04,9.5e-05
C08:10,1.3e-05
C08:15,6e-06
C08:23,1.1e-05
C08:29,1e-05
C12:02,0.033
C12:03,0.0911
C12:05,0.0002
C12:09,1.1e-05
C14:02,0.0236
C14:03,0.0005
C14:04,2e-05
C15:02,0.0372
C15:04,0.0016
C15:05,0.0139
C15:06,0.0003
C15:09,4e-05
C15:11,1e-05
C15:17,1.6e-05
C15:36,1.7e-05
C16:01,0.0169
C16:02,0.0157
C16:04,0.0116
C17:01,0.0338
C18:01,0.0006
