allele,frequency
C07:105,1e-05
C07:106,1.2e-05
C07:107,1.4e-05
C07:108,8e-06
C07:109,1.1e-05
C08:01,0.1002
C08:02,0.0039
C08:03,0.0002
C08:04,2.8e-05
C12:02,0.0122
C12:03,0.0051
C12:04,0.0192
C14:02,0.0135
C14:03,9.5e-05
C14:04,1.7e-05
C15:02,0.0681
C15:04,4.5e-05
C15:05,0.001
C15:07,1.8e-05
C16:01,0.0027
C16:02,0.0002
C16:04,0.0003
C17:01,0.0014
C18:01,7.9e-05
