allele,frequency
B57:03,0.0062
B57:04,9.2e-05
B58:01,0.0142
B58:02,0.0037
B58:06,3e-06
B59:01,3e-06
B67:01,0.0001
B73:01,0.0007
B78:01,0.0011
B78:02,3.1e-05
B78:04,6.5e-05
B81:01,0.0023
B82:01,0.0002
B82:02,2e-05
A01:01,0.0726
A01:02,0.0014
A01:03,9.2e-05
A01:06,3e-06
A01:20,3e-06
A01:24,3e-06
A01:25,3e-06
A02:01,0.2095
A02:02,0.0076
A02:03,0.0002
A02:04,0.0016
A02:05,0.0148
A02:06,0.0198
A02:07,5.5e-05
A02:08,7e-06
A02:11,0.0081
A02:12,2e-05
A02:13,0.0009
A02:14,3e-06
A02:16,0.0
A02:17,0.0019
A02:19,7e-06
A02:20,0.0003
A02:22,0.0056
A02:24,7e-06
A02:30,7e-06
A02:33,2e-05
A02:36,3e-06
A02:39,5.5e-05
A02:40,2e-06
A02:44,2.4e-05
A02:51,1e-05
A02:52,3.1e-05
A02:54,1.7e-05
A02:57,2e-06
A02:58,1.4e-05
A02:60,1.7e-05
A02:63,3e-06
A02:64,5.1e-05
A02:73,2e-06
A02:74,3e-06
A02:84,2e-06
A02:87,9.2e-05
A02:92,3e-06
A02:101,7e-06
A02:105,3e-06
A02:108,2e-06
A02:110,2e-05
A02:122,7e-06
A02:130,2e-06
A02:136,3.4e-05
A02:147,1.7e-05
A02:152,7e-06
A02:160,0.0
A02:161,1e-06
A02:162,1e-06
A02:163,0.0
A02:164,0.0
A02:165,1e-06
A02:166,0.0
A02:167,0.0
A02:168,0.0
A02:169,0.0
A02:193,8.2e-05
A02:211,7e-06
A02:245,2e-06
A02:268,1e-05
A02:300,2e-06
A03:01,0.0738
A03:02,0.0025
A03:05,2.7e-05
A03:07,1.7e-05
A03:13,2e-06
A03:16,2e-06
A03:30,3e-06
A11:01,0.0456
A11:02,1.4e-05
A11:03,7e-06
A11:04,3e-06
A11:05,1e-05
A11:08,4.8e-05
A11:12,7e-06
A23:01,0.0368
A23:02,7e-06
A23:05,6.5e-05
A23:13,3e-06
A23:15,3e-06
A24:02,0.1316
A24:03,0.0049
A24:05,9.4e-05
A24:07,0.0003
A24:08,7e-06
A24:13,1e-05
A24:14,0.0003
A24:15,7e-06
A24:17,1e-05
A24:18,3e-06
A24:22,0.0002
A24:23,1e-05
A24:25,0.001
