allele,frequency
A24:21,3e-06
A24:27,3e-06
A24:30,3e-06
A24:31,3e-06
A24:53,1e-06
A24:77,3e-06
A24:82,3e-06
A24:97,5e-06
A25:01,0.0001
A26:01,0.0418
A26:02,2.5e-05
A26:03,1.4e-05
A26:05,3.5e-05
A26:07,0.0002
A26:09,3e-06
A26:13,1e-06
A26:14,1.9e-05
A26:17,1.1e-05
A26:18,5e-06
A26:36,3e-06
A29:01,0.0132
A29:02,0.0013
A29:03,5e-06
A29:09,3e-06
A29:10,5e-06
A30:01,0.0173
A30:02,0.0024
A30:04,0.0002
A30:08,5e-06
A30:11,3e-05
A31:01,0.0331
A31:02,3e-06
A31:04,2.7e-05
A31:06,0.0004
A31:12,0.0005
A31:16,5.9e-05
A31:42,3e-06
A32:01,0.0386
A32:02,3e-06
A32:03,5e-06
A32:26,1e-06
A33:01,0.0012
A33:03,0.0992
A33:10,5e-06
A33:13,5e-06
A33:19,3e-06
A34:01,0.0001
A34:02,4e-05
A34:05,1.4e-05
A36:01,3e-05
A36:03,3e-06
A43:01,5e-06
A66:01,0.0003
A66:02,1.3e-05
A66:11,1e-06
A68:01,0.0676
A68:02,0.0003
A68:03,3e-05
A68:04,3e-06
A68:05,3e-06
A68:09,3e-06
A68:10,1e-06
A68:12,8e-06
A68:13,1e-06
A68:14,1e-06
A68:16,1e-06
A68:24,0.0001
A68:30,1e-06
A68:41,1e-06
A68:75,1e-06
A69:01,0.0006
A74:01,0.0015
A74:03,3.2e-05
A74:05,1.6e-05
A74:08,3e-06
A80:01,3e-06
A80:02,3e-06
C01:02,0.0351
C01:03,3.4e-05
C01:04,1.1e-05
C01:16,6e-06
C01:17,7.6e-05
C01:18,6e-06
C02:02,0.0093
C02:08,7.3e-05
C03:02,0.0419
C03:03,0.0152
C03:04,0.0162
C03:88,6.6e-05
C04:01,0.1364
C04:03,0.0138
C04:04,1.3e-05
C04:06,4.1e-05
C04:10,0.0008
C04:24,8e-06
C04:26,9e-06
C04:49,9e-06
C05:01,0.0084
C05:18,9e-06
C06:02,0.1391
C06:06,1e-05
C06:07,6e-06
C06:17,3e-06
C06:27,6.1e-05
C06:32,6e-06
C06:39,6e-06
C07:01,0.1039
C07:02,0.1078
C07:04,0.0155
C07:05,7e-06
C07:07,5e-06
C07:09,8e-06
C07:16,4e-06
C07:26,0.0041
C07:27,2.7e-05
C07:29,0.0003
C07:51,6e-06
C07:89,4e-06
C07:130,1e-05
C07:161,3e-06
C07:162,3e-06
C07:163,4e-06
C07:165,4e-06
C07:168,6e-06
C07:169,1.2e-05
C08:01,0.0283
C08:02,0.0019
C08:03,0.0018
C08:04,1.6e-05
C12:02,0.0813
C12:03,0.0491
C12:04,0.0027
C12:05,4.2e-05
C12:09,8.9e-05
C12:18,1.8e-05
C12:24,8e-06
C14:02,0.0336
C14:03,7.7e-05
C14:04,1.5e-05
C14:12,8e-06
C15:02,0.1077
C15:04,0.0003
C15:05,0.0115
C15:06,1.2e-05
C15:07,0.0002
C15:08,1.1e-05
C15:09,1e-05
C15:10,1.2e-05
C15:11,9e-06
C16:01,0.0007
C16:02,0.0279
C16:04,0.0003
C16:19,6e-06
C17:01,0.0039
C18:01,7.5e-05
