allele,frequency
C07:05,0.0002
C07:17,3e-05
C07:19,8e-05
C07:26,0.0001
C07:28,3e-05
C07:35,5e-05
C07:141,4e-05
C07:170,4e-05
C07:171,1e-05
C07:172,4e-05
C07:173,2e-05
C07:174,2e-05
C07:175,4e-05
C07:176,4e-05
C07:177,2e-05
C07:178,2e-05
C07:179,2e-05
C08:01,0.0011
C08:02,0.0368
C08:04,0.0095
C12:02,0.0028
C12:03,0.0183
C12:07,4e-05
C14:02,0.0155
C14:03,0.0008
C14:10,3e-05
C15:02,0.0044
C15:04,5e-05
C15:05,0.0156
C15:22,4e-05
C16:01,0.0914
C16:02,0.0032
C16:04,0.0015
C17:01,0.0715
C18:01,0.0325
